emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
hardware engineer,3,OH,RENT,71000,Verified,10.23,NA,,NA,1,13,2012,1,14,13,38950,35446,1,0,13,0,0,11,5,7,13,0,0,1,3000,2,2,1,0,92.9,0,0,other,individual,27700,60,17.09,689.76,D,D1,Jan-2018,Current,whole,Cash,26181.02,3396.2,1518.98,1877.22,0
assistant plant manager ,5,FL,MORTGAGE,75000,Verified,28.61,NA,,NA,0,NA,2006,2,26,18,70767,55878,0,0,NA,0,0,3,7,10,18,0,0,8,10200,16,15,12,0,100,0,0,debt_consolidation,individual,28000,60,28.72,884.01,F,F1,Mar-2018,Current,whole,Cash,27342.89,2607.35,657.11,1950.24,0
sales,2,LA,MORTGAGE,105000,Not Verified,18,NA,,NA,0,61,2001,1,33,19,325517,78096,0,0,NA,0,0,1,8,8,19,0,0,9,62400,23,17,13,3,97,0,0,debt_consolidation,individual,21000,60,11.99,467.03,B,B5,Jan-2018,Current,whole,Cash,19688.02,2307.17,1311.98,995.19,0
engineer,6,FL,MORTGAGE,70480,Verified,37.08,111900,Verified,25.32,0,NA,2006,5,21,11,341340,116079,0,0,NA,0,0,4,5,5,11,0,0,2,30000,8,6,5,1,100,0,0,credit_card,joint,34000,60,12.61,766.84,C,C1,Mar-2018,Current,whole,Cash,32758.37,2276.7,1241.63,1035.07,0
traffic manager,10,NY,RENT,105000,Source Verified,1.85,NA,,NA,0,NA,1991,1,7,5,32700,2679,0,0,NA,0,0,0,2,7,5,0,0,1,8000,6,5,4,0,100,0,0,debt_consolidation,individual,15000,36,7.34,465.5,A,A4,Mar-2018,Current,whole,Cash,13871.88,1384.27,1128.12,256.15,0
engineer tech,6,MI,MORTGAGE,62000,Source Verified,16.82,NA,,NA,0,35,1994,0,21,9,241400,32794,0,0,NA,0,0,0,1,NA,9,0,0,4,58600,17,8,6,2,95.2,0,0,credit_card,individual,24000,60,9.43,503.23,B,B1,Feb-2018,Current,whole,Cash,23048.67,1497.12,951.33,545.79,0
office assistant,0,CA,MORTGAGE,25920,Source Verified,41.94,85920,Source Verified,16.45,0,52,1998,2,23,12,413371,43722,0,0,70,0,5218,4,10,8,12,0,0,1,800,8,7,5,3,87,0,0,debt_consolidation,joint,5000,36,9.44,160.03,B,B1,Feb-2018,Current,whole,Cash,4511.51,636.64,488.49,148.15,0
security supervisor,6,MS,RENT,44000,Verified,29.49,NA,,NA,1,7,2009,1,14,10,54414,31689,0,1,7,0,0,2,5,9,9,0,0,3,17000,8,7,4,0,92.9,0,1,other,individual,6000,36,16.01,210.98,C,C5,Mar-2018,Current,whole,Cash,5601.95,622.27,398.05,224.22,0
nail technician,9,NC,MORTGAGE,36000,Not Verified,13.1,NA,,NA,0,NA,2000,0,12,10,132003,13751,0,0,NA,0,243,0,4,NA,10,0,0,7,25000,9,9,8,3,91.7,0,0,credit_card,individual,14000,60,14.07,326.27,C,C3,Mar-2018,Current,whole,Cash,13507.92,967.87,492.08,475.79,0
attorney,6,MT,MORTGAGE,196000,Not Verified,14.63,NA,,NA,0,NA,2006,5,40,20,530925,172621,0,0,NA,0,0,11,7,3,20,0,0,4,42300,14,8,7,4,100,0,0,debt_consolidation,individual,8000,36,5.31,240.89,A,A1,Mar-2018,Current,whole,Cash,7380.8,717.95,619.2,98.75,0
retail sales associate,3,NY,RENT,40000,Not Verified,5.27,NA,,NA,0,NA,2015,0,9,7,19800,8067,0,0,NA,0,0,0,6,23,7,0,0,4,13000,9,7,6,0,100,0,0,credit_card,individual,5000,36,11.98,166.03,B,B5,Mar-2018,Current,whole,Cash,4766.61,347.04,233.39,113.65,0
assembly ,5,IN,MORTGAGE,38000,Source Verified,50.47,80000,Source Verified,32.05,0,NA,2005,2,26,10,147686,34162,0,0,NA,0,0,2,4,3,10,0,0,3,11400,16,7,6,3,100,0,0,home_improvement,joint,28800,36,10.9,941.52,B,B4,Mar-2018,Current,fractional,Cash,26741.66,2789.68,2058.34,731.34,0
police officer 2,5,CA,OWN,115000,Source Verified,16.33,NA,,NA,0,39,2003,9,32,16,494031,62401,0,0,39,0,0,2,12,1,16,0,0,7,35800,18,13,9,3,87.1,0,0,credit_card,individual,24000,36,9.43,768.01,B,B1,Mar-2018,Current,whole,Cash,22248.07,2278.88,1751.93,526.95,0
police officer,10,IL,MORTGAGE,120000,Not Verified,13.66,NA,,NA,1,12,2004,1,14,4,301655,32501,0,0,NA,0,245,1,1,8,4,0,0,0,1500,7,2,1,2,92.9,0,0,debt_consolidation,individual,16800,60,13.59,387.35,C,C2,Jan-2018,Current,whole,Cash,15791.98,1924.07,1008.02,916.05,0
cnc programmer / operator,4,OR,MORTGAGE,72000,Source Verified,22.68,NA,,NA,0,NA,2007,0,35,14,236171,58714,0,0,NA,0,0,2,3,18,14,0,0,5,32800,20,11,6,2,100,0,0,moving,individual,3600,36,6.72,110.7,A,A3,Jan-2018,Current,whole,Cash,3142.2,550.81,457.8,93.01,0
senior consultant,3,NY,RENT,105000,Source Verified,18.89,NA,,NA,0,NA,2010,0,22,15,108200,62054,0,0,NA,0,0,7,6,17,15,0,0,2,37700,6,6,3,0,100,0,0,debt_consolidation,individual,30000,60,14.08,699.3,C,C3,Feb-2018,Current,whole,Cash,28586.16,2773.73,1413.84,1359.89,0
cook,5,CA,RENT,35000,Source Verified,31.34,NA,,NA,0,NA,2003,0,16,11,64576,33243,0,0,NA,0,0,2,8,17,11,0,0,4,19000,11,9,6,0,100,0,0,house,individual,10000,36,13.58,339.74,C,C2,Mar-2018,Current,whole,Cash,9312.56,1011.68,687.44,324.24,0
onsite medical ,3,NV,RENT,72000,Source Verified,20.33,NA,,NA,0,37,2006,6,12,6,58911,54947,0,0,37,0,0,2,3,2,6,0,0,1,2500,5,4,2,0,91.7,0,0,debt_consolidation,individual,30000,60,28.72,947.15,F,F1,Jan-2018,Current,whole,Cash,28798.08,4687.88,1201.92,3485.96,0
sales administrator,2,WA,RENT,42000,Source Verified,23.34,NA,,NA,0,68,2007,0,14,9,48364,31546,0,0,68,0,95,2,2,20,9,0,0,3,12900,10,7,7,0,92.9,0,0,debt_consolidation,individual,9000,36,11.98,298.85,B,B5,Feb-2018,Current,whole,Cash,8366.72,890.56,633.28,257.28,0
manager,3,MA,RENT,74300,Source Verified,5.85,NA,,NA,0,33,1997,0,10,5,15530,3989,0,0,33,0,0,1,3,18,5,0,0,2,1300,5,3,3,0,90,0,0,debt_consolidation,individual,6025,36,16.01,211.86,C,C5,Mar-2018,Current,whole,Cash,5625.28,630.22,399.72,230.5,0
driver,3,VA,MORTGAGE,35600,Source Verified,11.06,NA,,NA,0,NA,2006,0,11,6,26000,13661,0,0,NA,0,0,1,3,22,6,0,0,3,15100,5,5,5,1,100,0,0,debt_consolidation,individual,15000,60,14.08,349.65,C,C3,Jan-2018,Current,whole,Cash,14111.13,1736.52,888.87,847.65,0
manager,8,CA,RENT,132300,Verified,3.54,NA,,NA,0,NA,2004,3,27,8,44276,5449,0,0,NA,0,0,1,5,0,8,0,0,1,21000,19,7,2,0,100,0,0,major_purchase,individual,40000,60,11.99,889.58,B,B5,Feb-2018,Late (31-120 days),whole,Cash,40000,0,0,0,0
rural carrier,4,LA,MORTGAGE,77000,Source Verified,33.85,91400,Source Verified,29.03,0,78,2007,0,22,12,184198,155876,0,0,78,0,0,3,7,21,12,0,0,5,16000,9,9,6,0,95.5,0,0,credit_card,joint,16000,36,19.42,589.9,D,D3,Mar-2018,Current,whole,Cash,14990.94,1752.44,1009.06,743.38,0
math teacher,2,AZ,RENT,41524,Not Verified,21.38,NA,,NA,1,15,2005,2,60,11,146630,148535,0,0,15,0,0,7,13,7,10,0,0,2,2200,12,4,3,0,94,0,0,moving,individual,1000,36,17.09,35.7,D,D1,Jan-2018,Current,whole,Cash,889.61,176.6,110.39,66.21,0
,NA,TX,OWN,25000,Source Verified,9.07,NA,,NA,0,NA,1973,0,8,4,8600,5890,0,1,NA,0,0,0,4,14,4,0,0,4,8600,7,4,4,0,100,0,1,debt_consolidation,individual,10000,36,11.99,332.1,B,B5,Feb-2018,Current,fractional,Cash,9057.25,1311.75,942.75,369,0
sole member,10,OH,RENT,48000,Not Verified,37.9,NA,,NA,0,28,2001,5,15,5,85700,64534,0,0,NA,0,0,1,3,2,5,0,0,2,32000,9,4,3,1,93.3,0,0,major_purchase,individual,20000,36,18.45,727.58,D,D2,Mar-2018,Current,whole,Cash,18720.28,2141.74,1279.72,862.02,0
,NA,SC,OWN,68186,Not Verified,15.61,NA,,NA,0,NA,2003,0,32,4,86767,79359,0,0,NA,0,0,1,5,13,4,0,0,1,13000,9,3,2,3,100,0,0,credit_card,individual,12000,60,17.47,301.28,D,D1,Mar-2018,Current,whole,Cash,11614.7,892.19,385.3,506.89,0
cashier ,2,IL,MORTGAGE,22000,Source Verified,4.09,97000,Not Verified,17.06,0,NA,2010,2,7,6,28300,1550,0,0,NA,0,0,0,1,5,6,0,0,3,21800,6,6,3,0,100,0,0,debt_consolidation,joint,12000,36,6.72,369,A,A3,Jan-2018,Current,whole,Cash,10474,1840.52,1526,314.52,0
credit manager,10,IN,MORTGAGE,80000,Source Verified,16.42,NA,,NA,0,NA,2012,1,14,9,225355,28864,0,1,NA,0,0,2,3,7,9,0,0,4,12200,9,6,5,1,100,0,1,debt_consolidation,individual,22000,60,14.08,512.82,C,C3,Feb-2018,Current,whole,Cash,20963.18,2034.07,1036.82,997.25,0
nurse,10,IL,RENT,100000,Verified,13.8,NA,,NA,0,NA,2002,3,9,6,61631,45711,0,0,NA,0,56,4,4,3,6,0,0,1,1000,2,2,1,0,100,0,0,other,individual,5000,36,7.97,156.62,A,A5,Jan-2018,Current,whole,Cash,4501.41,624.27,498.59,125.68,0
operations manager,5,TX,MORTGAGE,74000,Source Verified,10.22,NA,,NA,0,NA,2006,3,35,14,62100,24665,0,1,NA,0,0,1,6,3,13,0,0,3,22800,24,13,6,0,100,0,1,credit_card,individual,26525,60,13.59,611.57,C,C2,Feb-2018,Current,whole,Cash,25259,2296.08,1266,1030.08,0
heavy equipment operator ,0,TX,OWN,70000,Not Verified,29.38,NA,,NA,0,51,2006,3,18,9,139026,97394,0,0,51,0,0,4,3,2,9,0,0,1,20600,7,5,2,0,88.9,0,0,debt_consolidation,individual,5000,36,9.93,161.18,B,B2,Feb-2018,Current,whole,Cash,4514.8,637.82,485.2,152.62,0
office manager,10,WA,MORTGAGE,155000,Not Verified,8.56,NA,,NA,0,NA,2002,0,24,7,267628,30456,0,0,NA,0,0,2,3,NA,7,0,0,0,4000,12,4,3,4,100,0,0,debt_consolidation,individual,40000,36,5.31,1204.42,A,A1,Feb-2018,Current,whole,Cash,35862.96,4776.38,4137.04,639.34,0
register nurse,2,FL,MORTGAGE,91900,Source Verified,1.82,NA,,NA,0,NA,2000,4,26,10,450371,55939,0,0,NA,0,0,1,7,4,10,0,0,2,9000,15,8,3,3,92,0,0,other,individual,40000,60,9.92,848.31,B,B2,Mar-2018,Current,whole,Cash,38434.2,2500.84,1565.8,935.04,0
labor ,2,NJ,RENT,92000,Source Verified,19.3,NA,,NA,0,26,2008,4,20,17,68406,32326,0,0,NA,0,0,7,10,0,17,0,0,4,11500,12,10,6,0,80,0,0,debt_consolidation,individual,9000,36,11.98,298.85,B,B5,Mar-2018,Current,fractional,Cash,8366.72,884.57,633.28,251.29,0
account executive ,10,VA,OWN,159000,Not Verified,12.37,NA,,NA,0,29,2000,3,38,21,101445,65010,0,0,29,0,0,1,13,11,21,0,0,9,26000,31,19,14,2,68.4,0,0,home_improvement,individual,25000,60,15.05,595.41,C,C4,Jan-2018,Current,whole,Cash,23851.14,2360.74,1148.86,1211.88,0
driver,10,MS,MORTGAGE,35000,Not Verified,40.5,120000,Not Verified,21.61,0,71,1990,0,9,6,75519,43066,0,0,71,0,336,3,0,NA,6,0,0,3,3300,3,3,3,0,100,0,0,debt_consolidation,joint,7200,36,15.05,249.77,C,C4,Jan-2018,Current,whole,Cash,6383.01,1259.27,816.99,442.28,0
appraiser,0,MI,RENT,52000,Not Verified,18.28,NA,,NA,0,NA,2006,7,22,11,52948,36928,0,1,NA,0,0,2,5,2,11,0,0,1,9500,15,9,1,1,100,0,1,credit_card,individual,6100,36,10.91,199.45,B,B4,Feb-2018,Current,whole,Cash,5516.13,794.1,583.87,210.23,0
manager,10,MI,MORTGAGE,144000,Source Verified,18.59,NA,,NA,0,NA,1994,0,39,15,405523,90548,0,0,NA,0,0,3,2,20,15,0,0,5,76400,21,10,7,4,100,0,0,credit_card,individual,40000,36,5.32,1204.6,A,A1,Jan-2018,Current,whole,Cash,34817.92,6011.18,5182.08,829.1,0
qa,10,OR,MORTGAGE,90000,Not Verified,23.87,NA,,NA,0,NA,1997,1,25,13,316995,78614,0,0,NA,0,0,2,5,12,13,0,0,7,54700,11,10,7,4,100,0,0,credit_card,individual,36000,36,7.34,1117.19,A,A4,Mar-2018,Current,whole,Cash,33292.54,3322.21,2707.46,614.75,0
medical assistant,4,NY,RENT,25000,Source Verified,16.61,NA,,NA,0,NA,2014,0,8,3,9100,3267,0,0,NA,0,0,0,1,17,3,0,0,1,3000,7,3,3,0,100,0,0,other,individual,10000,36,10.9,326.92,B,B4,Mar-2018,Current,whole,Cash,9285.29,968.65,714.71,253.94,0
customer advocate,3,FL,OWN,85000,Not Verified,3.52,NA,,NA,0,NA,2006,1,15,12,54300,9239,0,0,NA,0,0,1,5,9,12,0,0,9,48300,13,11,9,0,93.3,0,0,credit_card,individual,6000,36,5.32,180.69,A,A1,Jan-2018,Current,whole,Cash,4768.27,1351.68,1231.73,119.95,0
analyst,0,NY,RENT,63000,Not Verified,9.68,NA,,NA,0,NA,1996,4,4,4,40423,23050,0,0,NA,0,0,1,3,5,4,0,0,3,31500,3,3,3,0,100,0,0,credit_card,individual,9600,36,23.87,375.99,E,E2,Mar-2018,Current,fractional,Cash,9033.8,1115.24,566.2,549.04,0
biostatistician/epidemiologist,10,MS,RENT,104000,Not Verified,18.24,NA,,NA,0,80,2001,0,24,13,173610,85080,0,0,NA,0,0,3,1,NA,13,0,0,8,71800,17,10,9,0,95.8,0,0,debt_consolidation,individual,15000,36,5.32,451.73,A,A1,Feb-2018,Current,fractional,Cash,13348.97,1902.49,1651.03,251.46,0
lawyer/owner,10,TX,MORTGAGE,90000,Verified,30.01,NA,,NA,0,NA,1992,3,31,13,296420,99071,0,0,NA,0,0,4,4,1,13,0,0,4,55100,14,8,7,4,100,0,0,debt_consolidation,individual,30000,36,11.99,996.29,B,B5,Mar-2018,Current,whole,Cash,27889.43,2948.9,2110.57,838.33,0
,NA,ME,MORTGAGE,67400,Not Verified,6.5,NA,,NA,0,NA,2003,1,10,3,155683,8590,0,0,NA,0,0,1,2,12,3,0,0,1,2900,2,1,1,2,100,0,0,credit_card,individual,25000,60,7.34,499.06,A,A4,Mar-2018,Current,whole,Cash,24305.6,977.73,694.4,283.33,0
legal assistant,10,CA,RENT,70000,Source Verified,21.19,NA,,NA,0,NA,2003,0,10,6,74749,55141,0,0,NA,0,0,2,3,18,6,0,0,3,21800,5,4,4,0,100,0,0,debt_consolidation,individual,24400,60,13.59,562.58,C,C2,Jan-2018,Current,whole,Cash,22935.96,2776.06,1464.04,1312.02,0
budget analyst,10,CA,RENT,44000,Not Verified,9.71,NA,,NA,0,NA,2004,0,24,14,91776,45782,0,0,NA,0,0,7,4,NA,14,0,0,4,52200,12,7,4,0,100,0,0,debt_consolidation,individual,13000,36,6.72,399.75,A,A3,Feb-2018,Current,whole,Cash,11681.17,1594.15,1318.83,275.32,0
,0,MI,RENT,40000,Not Verified,6.9,NA,,NA,0,28,2007,0,14,8,37985,5799,0,1,NA,0,0,0,2,16,8,0,0,7,23100,10,7,7,0,85.7,1,0,car,individual,17000,60,9.44,356.54,B,B1,Jan-2018,Current,whole,Cash,15868.3,1773.78,1131.7,642.08,0
secretary/ treasurer,10,WI,MORTGAGE,75000,Not Verified,0.69,NA,,NA,0,NA,2000,1,21,7,351100,1825,0,0,NA,0,0,0,1,0,7,0,0,1,72100,9,6,1,4,100,0,0,other,individual,10000,36,6.08,304.59,A,A2,Feb-2018,Current,whole,Cash,8976.56,1211.6,1023.44,188.16,0
program manager,0,NY,RENT,40000,Source Verified,1.5,NA,,NA,0,54,1987,1,3,2,33000,1160,1,0,54,0,0,0,1,4,2,0,0,2,33000,2,2,2,0,66.7,0,0,debt_consolidation,individual,10000,36,6.71,307.45,A,A3,Mar-2018,Current,whole,Cash,9241.17,918.62,758.83,159.79,0
driver,0,NV,MORTGAGE,30000,Not Verified,24.04,NA,,NA,0,55,2004,3,10,6,43500,19493,0,0,NA,0,0,2,1,3,6,0,0,3,19000,5,4,3,0,90,0,0,credit_card,individual,5000,36,13.59,169.9,C,C2,Jan-2018,Late (31-120 days),fractional,Cash,4656.31,505.92,343.69,162.23,0
regional sales manager,10,SC,RENT,51000,Source Verified,10.89,NA,,NA,0,55,1988,0,12,8,25878,8045,0,0,55,0,1097,1,5,20,8,0,0,2,13200,8,7,3,1,91.7,0,0,debt_consolidation,individual,10000,36,10.41,324.61,B,B3,Mar-2018,Current,whole,Cash,9280.21,968.05,719.79,248.26,0
office manager ,10,VA,RENT,60000,Not Verified,10.2,NA,,NA,0,78,2004,4,29,21,61883,31072,0,0,78,0,0,1,9,2,21,0,0,2,24000,24,20,3,0,96.6,0,0,debt_consolidation,individual,38000,60,15.04,904.82,C,C4,Mar-2018,Current,whole,Cash,36496.99,2882.71,1503.01,1379.7,0
legal assistant,5,NY,MORTGAGE,62500,Source Verified,25.36,NA,,NA,0,NA,2004,6,28,10,303707,64692,0,0,NA,0,0,3,5,1,10,0,0,4,29200,13,6,6,1,100,0,0,home_improvement,individual,4000,36,7.96,125.28,A,A5,Mar-2018,Current,whole,Cash,3701.79,374.07,298.21,75.86,0
production coordinator,10,NJ,MORTGAGE,45000,Source Verified,34.8,147000,Not Verified,22.92,0,NA,2002,3,22,10,461134,55904,0,0,NA,0,0,3,5,4,10,0,0,3,28200,11,6,5,2,100,0,0,debt_consolidation,joint,16000,60,13.59,368.9,C,C2,Jan-2018,Current,whole,Cash,15236.35,1548.08,763.65,784.43,0
lead architect,10,KS,MORTGAGE,120000,Not Verified,9.94,NA,,NA,0,71,1996,0,27,12,185498,55667,0,0,71,0,0,2,6,17,12,0,0,4,32600,20,9,4,1,74.1,0,0,debt_consolidation,individual,25000,36,9.44,800.13,B,B1,Feb-2018,Current,whole,Cash,22149.65,3561.19,2850.35,710.84,0
senior salesforce developer/architect,2,CT,RENT,185000,Not Verified,4.75,NA,,NA,0,75,2007,4,16,8,298154,24491,0,0,75,0,0,1,4,6,8,0,0,6,49800,8,6,6,1,93.3,0,0,debt_consolidation,individual,35000,60,9.92,742.27,B,B2,Mar-2018,Current,whole,Cash,33629.93,2188.23,1370.07,818.16,0
,NA,CA,RENT,13164,Verified,4.56,NA,,NA,0,NA,2000,1,6,5,17600,157,0,0,NA,0,0,0,4,10,5,0,0,2,14200,6,5,2,0,100,0,0,debt_consolidation,individual,6500,36,7.97,203.6,A,A5,Jan-2018,Current,whole,Cash,5687.13,1015.12,812.87,202.25,0
,NA,KS,RENT,60000,Verified,20.7,NA,,NA,1,66,2004,2,15,5,54134,50160,0,0,24,0,0,1,3,5,4,NA,0,3,10000,7,3,3,2,73,0,0,credit_card,individual,15000,60,12.61,338.31,C,C1,Mar-2018,Fully Paid,whole,Cash,0,15209.4055207178,15000,209.41,0
contractor,3,CA,RENT,58000,Not Verified,12.91,NA,,NA,0,NA,2005,1,15,10,33226,16457,0,0,NA,0,0,1,9,10,10,0,0,8,20500,14,9,9,0,100,0,0,credit_card,individual,10000,60,18.06,254.27,D,D2,Feb-2018,Current,whole,Cash,9575.46,1007.05,424.54,582.51,0
manager,10,NV,OWN,280000,Not Verified,5.11,NA,,NA,0,50,2003,5,45,14,56581,20955,0,0,50,0,1699,1,3,1,14,0,0,4,24500,26,11,4,1,84.1,0,0,home_improvement,individual,14000,36,13.58,475.64,C,C2,Feb-2018,Current,whole,Cash,9906.08,4581.44,4093.92,487.52,0
maintenance technician,5,IL,MORTGAGE,48000,Source Verified,44.35,100000,Source Verified,35.57,0,38,2000,2,21,10,112353,59772,0,1,NA,0,0,5,5,3,9,0,0,4,13000,9,5,4,0,95.2,0,1,debt_consolidation,joint,25875,60,24.85,757.2,E,E3,Jan-2018,Current,whole,Cash,24961.62,3082.39,913.38,2169.01,0
stylest,10,NY,OWN,80000,Not Verified,27.32,NA,,NA,0,NA,2003,2,33,16,125219,56673,0,0,NA,0,0,2,7,8,16,0,0,3,52700,20,13,4,0,100,0,0,credit_card,individual,16000,60,10.42,343.27,B,B3,Feb-2018,Current,whole,Cash,15171.95,1349.92,828.05,521.87,0
installer,2,AZ,RENT,42000,Source Verified,19.71,NA,,NA,0,NA,2013,1,15,14,52934,31264,0,0,NA,0,0,6,6,4,14,0,0,1,9900,8,8,3,0,100,0,0,car,individual,8500,36,9.92,273.96,B,B2,Feb-2018,Current,whole,Cash,7883.85,817.2,616.15,201.05,0
project manager,0,CA,RENT,45000,Verified,44.29,125000,,30.4,0,44,2003,2,42,15,74327,90943,0,0,NA,0,0,4,6,3,15,0,0,2,7600,19,11,7,0,97.6,0,0,debt_consolidation,joint,12000,36,11.99,398.52,B,B5,Feb-2018,Current,whole,DirectPay,10868.71,1586.09,1131.29,454.8,0
administrative specialist ,10,KS,MORTGAGE,36000,Verified,29.73,NA,,NA,0,NA,1996,1,14,5,104575,26967,0,0,NA,0,0,1,2,10,5,0,0,2,13000,11,3,3,1,100,0,0,debt_consolidation,individual,20000,60,10.9,433.86,B,B4,Mar-2018,Current,fractional,Cash,19236.53,1289.47,763.47,526,0
surgical assistant ,2,LA,MORTGAGE,25992,Verified,9.25,NA,,NA,1,7,1995,1,9,6,50300,6968,0,0,NA,0,0,0,2,10,6,0,0,3,36000,7,6,4,0,88.9,0,0,debt_consolidation,individual,12000,36,18.45,436.55,D,D2,Feb-2018,Current,whole,Cash,10968.31,1733.9,1031.69,702.21,0
evidence technician,10,AZ,MORTGAGE,63000,Not Verified,32,NA,,NA,0,NA,2002,1,33,19,254199,76667,0,0,NA,0,0,6,5,7,19,0,0,4,7500,17,12,10,2,100,0,0,credit_card,individual,14000,60,19.42,366.42,D,D3,Mar-2018,Current,whole,Cash,13573.61,1084.16,426.39,657.77,0
manager,10,NY,MORTGAGE,125000,Not Verified,34.89,NA,,NA,0,NA,1988,1,54,33,476217,133140,0,0,NA,0,0,8,11,4,33,0,0,13,154000,30,23,17,3,100,0,0,debt_consolidation,individual,27250,60,19.42,713.2,D,D3,Mar-2018,Current,whole,Cash,26701.19,1397,548.81,848.19,0
quality,10,IN,MORTGAGE,37000,Source Verified,27.38,NA,,NA,0,NA,1984,0,14,7,168798,30399,0,0,NA,0,0,1,1,22,7,0,0,4,97600,7,5,4,2,100,0,0,credit_card,individual,20000,60,10.9,433.86,B,B4,Feb-2018,Current,whole,DirectPay,19236.53,1289.47,763.47,526,0
highway trasportation specialist ii,10,NY,OWN,125000,Source Verified,8.09,NA,,NA,0,50,1999,1,18,12,102209,22784,0,0,50,0,0,1,8,10,12,0,0,5,77000,14,11,6,2,81.3,0,0,car,individual,36000,36,9.43,1152.01,B,B1,Feb-2018,Current,whole,Cash,33372.13,3437.17,2627.87,809.3,0
siu qc/qa analyst,10,NC,RENT,80000,Verified,29.62,NA,,NA,0,80,1978,0,16,9,82301,51955,0,0,80,0,129,2,1,NA,9,0,0,3,13300,8,6,6,0,93.3,0,0,debt_consolidation,individual,35000,36,14.08,1197.58,C,C3,Jan-2018,Current,whole,Cash,30972.01,5933.14,4027.99,1905.15,0
ir technologist ,10,VT,MORTGAGE,71000,Verified,18.61,NA,,NA,0,31,2001,1,23,13,380182,30014,0,0,NA,0,0,2,1,0,13,0,0,5,16900,14,10,6,2,95.7,0,0,other,individual,1000,36,9.92,32.23,B,B2,Mar-2018,Current,whole,Cash,927.51,96.14,72.49,23.65,0
sr security consultant,4,NV,RENT,125000,Verified,7.19,NA,,NA,0,47,2004,0,9,7,60868,34376,0,0,47,0,0,4,2,NA,7,0,0,1,22000,4,3,1,0,100,0,0,major_purchase,individual,40000,60,13.59,922.25,C,C2,Feb-2018,Current,whole,Cash,38576.25,2736.55,1423.75,1312.8,0
,NA,KY,RENT,11150,Verified,119.48,157150,Verified,28.73,0,NA,1997,0,7,6,40500,39452,0,0,NA,0,0,0,0,NA,6,0,0,4,31400,6,6,6,0,100,0,0,debt_consolidation,joint,24000,60,19.03,622.97,D,D3,Mar-2018,Current,whole,Cash,23261.3,1818.16,738.7,1079.46,0
"branch store managermarion n,c",10,NC,RENT,42000,Source Verified,18.57,NA,,NA,0,64,2003,2,19,8,51567,36669,0,0,NA,0,0,5,2,1,8,0,0,0,13200,5,3,0,0,89.5,0,0,debt_consolidation,individual,16000,36,7.35,496.6,A,A4,Jan-2018,Current,whole,Cash,13982.44,2476.47,2017.56,458.91,0
it director,10,MI,MORTGAGE,65000,Not Verified,15.98,NA,,NA,0,61,1989,2,13,4,265200,33589,0,0,77,0,0,2,0,6,4,0,0,1,21000,6,1,1,2,84.6,0,0,credit_card,individual,26000,60,10.91,564.14,B,B4,Feb-2018,Current,whole,DirectPay,24670.98,2272.32,1329.02,943.3,0
assistant clinical director,0,NY,RENT,87000,Source Verified,17.3,NA,,NA,0,75,2002,1,48,22,187421,194083,0,0,NA,0,0,12,8,7,22,0,0,5,15900,11,10,8,0,97.8,0,0,credit_card,individual,19000,60,12.61,428.53,C,C1,Feb-2018,Current,whole,Cash,18069.98,1700.81,930.02,770.79,0
future executive sr sales director,10,MO,MORTGAGE,80000,Not Verified,18.5,NA,,NA,0,52,1981,0,25,10,258439,28073,0,0,NA,0,0,3,4,15,10,0,0,3,36000,14,5,3,2,96,0,0,credit_card,individual,14500,36,6.08,441.65,A,A2,Feb-2018,Current,whole,Cash,12803.23,1990.2,1696.77,293.43,0
owner,10,IN,MORTGAGE,106000,Not Verified,17.11,NA,,NA,0,NA,2002,6,32,19,229069,44909,0,1,NA,0,0,2,6,1,19,0,0,6,24000,26,16,12,2,100,0,1,debt_consolidation,individual,13000,36,9.44,416.07,B,B1,Feb-2018,Current,whole,Cash,11729.9,1650.64,1270.1,380.54,0
network installer,3,CA,RENT,60000,Not Verified,12.58,NA,,NA,0,NA,2003,1,11,9,74500,17268,0,0,NA,0,0,1,3,12,9,0,0,5,59500,10,8,5,0,100,0,0,major_purchase,individual,1800,36,10.42,58.44,B,B3,Jan-2018,Current,whole,Cash,1582.2,290.12,217.8,72.32,0
director of global sourcing,5,NY,MORTGAGE,132000,Not Verified,10.6,NA,,NA,0,35,1997,0,19,6,257956,26342,0,0,NA,0,0,1,1,19,6,0,0,1,18500,8,3,2,5,94.7,0,0,debt_consolidation,individual,16000,60,9.44,335.57,B,B1,Jan-2018,Current,whole,Cash,14934.86,1669.46,1065.14,604.32,0
